	LncRNA name	Synonyms	Ensembl ID	Refseq ID	Position	Cancer name	ICD-0-3-T	ICD-0-3-M	Methods	Sample (tissue/ cell line)	Expression pattern	Functional description	PubMed ID	Year	Title
333	FR0257520	FR0257520	N/A	N/A	N/A	prostate cancer	C61.9		RNA-seq, qPCR etc.	prostate cancer tissue	down-regulated	Consistent with the RNA-seq results, PCA3, FR0348383 and MALAT1 overexpression was found in 80% (32/40), 72.5% (29/40), and 82.5% (33/40) of the prostate cancers respectively, whereas decreased FR0257520 expression was found in 82.5% (33/40) of the prostate cancers.	22349460	2012	RNA-seq analysis of prostate cancer in the Chinese population identifies recurrent gene fusions, cancer-associated long noncoding RNAs and aberrant alternative splicings.
334	FR0348383	FR0348383	N/A	N/A	N/A	prostate cancer	C61.9		RNA-seq, qPCR etc.	prostate cancer tissue	up-regulated	Consistent with the RNA-seq results, PCA3, FR0348383 and MALAT1 overexpression was found in 80% (32/40), 72.5% (29/40), and 82.5% (33/40) of the prostate cancers respectively, whereas decreased FR0257520 expression was found in 82.5% (33/40) of the prostate cancers.	22349460	2012	RNA-seq analysis of prostate cancer in the Chinese population identifies recurrent gene fusions, cancer-associated long noncoding RNAs and aberrant alternative splicings.
335	FRLnc1	FRLnc1	N/A	N/A	N/A	gastric cancer	C16		microarray, qPCR, RNAi etc.	gastric cancer tissue, cell lines (MGC803, AGS, BGC823, and SGC7901)	up-regulated	The RNA level of FRLnc1 is upregulated in 49 % (20/41) of cancer samples compared with neighboring non-cancerous stomach tissues. We also identified TGFb1 and Twist as the downstream effectors of FRLnc1 in the regulation of cell migration. Our findings suggest that FRLnc1 is involved in gastric cancer cell migration and for the first time set up the link between FOXM1 and LncRNA in cancer.	25907137	2015	A FOXM1 related long non-coding RNA contributes to gastric cancer cell migration.
336	FTX	FTX; LINC00182; MIR374AHG; NCRNA00182	ENSG00000230590	NR_028379	chrX:73963955-74293574	colorectal cancer	C19.9		qPCR, RNAi etc	CRC and adjacent normal colorectal tissues, cell lines (HT-29, SW1116, SW480, COLO205)	up-regulated	Long non-coding RNA FTX was significantly upregulated in colorectal cancer tissues, and low long non-coding RNA FTX expression was significantly correlated with differentiation grade, lymph vascular invasion, and clinical stage. Patients with high long non-coding RNA FTX showed poorer overall survival than those with low long non-coding RNA FTX. Multivariate analyses indicated that status of long non-coding RNA FTX was an independent prognostic factor for patients. Functional analyses showed that upregulation of long non-coding RNA FTX significantly promoted growth, migration, invasion, and increased colony formation in colorectal cancer cells.	26629053	2015	Biological significance of long non-coding RNA FTX expression in human colorectal cancer
337	FTX	FTX; LINC00182; MIR374AHG; NCRNA00182	ENSG00000230590	NR_028379	chrX:73963955-74293574	hepatocellular carcinoma	C22.0	M8170/3	RIP etc.	Frozen HCC tumors, cell lines (SMMC-7721, HCCLM3, Hep3B, HepG2, Huh7, 97H and GSG7701)	down-regulated		27065331	2016	Long noncoding RNA FTX inhibits hepatocellular carcinoma proliferation and metastasis by binding MCM2 and miR-374a
338	GADD45G	 GADD45γ; CR6; DDIT2; GRP17; GADD45G	ENSG00000130222	NM_006705	chr9:89605013-89606555	pituitary adenoma	C75.1	M8272/0	qPCR etc.	pituitary tumor tissue	down-regulated	In summary, MEG3 and GADD45γexpression was significantly lost in most clinically non-functioning adenomas (78 and 92%, respetcively). Other assessed pituitary tumor phenotypes expressed both genes at significantly different levels, and, in some cases, with overexpression.	21850407	2012	Expression of cell growth negative regulators MEG3 and GADD45γ is lost in most sporadic human pituitary adenomas.
339	GAPLINC	GAPLINC; LINC01540	ENSG00000266835	NR_110429	chr18:3466250-3478978	colorectal cancer	C19.9		microarray, qPCR, Western blot, RNA pull-down assay ect.	cell lines (HCT116, HT29, SW480, DLD-1, SW620)	up-regulated	The increased expression of GAPLINC was found to be positively correlated with larger tumor size, advanced tumor stage (T stage), advanced node stage (N stage), increased death, and shorter survival of patients with CRC by in situ hybridization analysis. Besides, the decreased expression of GAPLINC could significantly repress CRC cell invasion in vitro and also inhibit proliferation in vitro and in vivo. RNA pull-down with mass spectrum experiments revealed that PTB-associated splicing factor (PSF) and non-POU-domain-containing octamer-binding (NONO) protein bound to GAPLINC and reversed the effect of GAPLINC on cell invasion. 	27259250	2016	Long noncoding RNA GAPLINC promotes invasion in colorectal cancer by targeting SNAI2 through binding with PSF and NONO.
340	GAPLINC	GAPLINC; LINC01540	ENSG00000266835	NR_110429	chr18:3466250-3478978	gastric cancer	C16		microarray, ISH etc.	gastric cancer tissue	up-regulated	GAPLINC is a 924-bp-long lncRNA that is highly expressed in gastric cancer tissues. GAPLINC suppression and with gene expression profiling in gastric cancer cells revealed alterations in cell migration pathways, with CD44 expression the most highly correlated. Manipulating GAPLINC expression altered CD44 mRNA abundance and the effetcs of GAPLINC on cell migration and proliferation were neutralized by suppressing CD44 expression.	25277524	2014	Long Noncoding RNA GAPLINC Regulates CD44-Dependent Cell Invasiveness and Associates with Poor Prognosis of Gastric Cancer.
341	GAS5	GAS5; SNHG2; NCRNA00030	ENSG00000234741	NR_002578	chr1:173863900-173868882	bladder cancer	C67		qPCR, Western blot, RNAi, RIP etc.	bladder cancer tissue, cell lines (T24, DSH1, RT112, RT4, KU7, 253J etc.)	down-regulated	In the present study, we found that the GAS5 expression is commonly downregulated in bladder cancer cell lines and human specimens. Knockdown of GAS5 promotes bladder cancer cell proliferation, whereas forced expression of GAS5 suppresses cell proliferation. We further demonstrated that knockdown of GAS5 increases CDK6 mRNA and protein levels in bladder cancer cells. Expectedly, GAS5 inhibition induces a significant decrease in G0/G1 phase and an obvious increase in S phase.	24069260	2013	Downregulation of GAS5 promotes bladder cancer cell proliferation, partly by regulating CDK6.
342	GAS5	GAS5; SNHG2; NCRNA00030	ENSG00000234741	NR_002578	chr1:173863900-173868882	breast cancer	C50		qPCR etc.	cell lines (HEK 293T, LNCaP, W7.2c etc.)	down-regulated	We have found that, in some cell lines, GAS5 expression induces growth arrest and apoptosis independently of other stimuli. GAS5 transcript levels were significantly reduced in breast cancer samples relative to adjacent unaffected normal breast epithelial tissues.	18836484	2009	GAS5, a non-protein-coding RNA, controls apoptosis and is downregulated in breast cancer.
343	GAS5	GAS5; SNHG2; NCRNA00030	ENSG00000234741	NR_002578	chr1:173863900-173868882	breast cancer	C50		qPCR etc.	breast cancer tissues and postoperative blood samples	down-regulated	Analysis in the 39 paired preoperative and postoperative plasma samples showed that lower GAS5 levels appeared in the patients with a high Ki67 proliferation index before surgery and the patients with a positive lymph node metastasis state after surgery. Plasma lncRNA GAS5 may have the potential to assess the surgical effects and prognosis for BC patients	26662314	2015	Circulating long noncoding RNA GAS5 as a potential biomarker in breast cancer for assessing the surgical effects
344	GAS5	GAS5; SNHG2; NCRNA00030	ENSG00000234741	NR_002578	chr1:173863900-173868882	breast cancer	C50		qPCR, RNAi etc.	cell lines (MCF7, T-47D)	down-regulated	In this preclinical study, the consequences of decreased GAS5 expression for breast cancer cell survival following treatment with chemotherapeutic agents are addressed. GAS5 lncRNA promoted the apoptosis of triple-negative and oestrogen receptor-positive cells but only dual PI3K/mTOR inhibition was able to enhance GAS5 levels in all cell types. Reduced GAS5 expression attenuates apoptosis induction by classical chemotherapeutic agents in breast cancer cells, providing an explanation for the relationship between GAS5 expression and breast cancer patient prognosis.	24789445	2014	Regulation of apoptosis by long non-coding RNA GAS5 in breast cancer cells: implications for chemotherapy.
345	GAS5	GAS5; SNHG2; NCRNA00030	ENSG00000234741	NR_002578	chr1:173863900-173868882	breast cancer	C50		microarray, qPCR etc.	breast cancer tissues, cell line (SKBR-3)	down-regulated	Expression of the lncRNA GAS5 was decreased in SKBR-3/Tr cells and in breast cancer tissue from trastuzumab-treated patients. Inhibition of GAS5 promoted SKBR-3 cell proliferation, and GAS5 knockdown partially reversed lapatinib-induced inhibition of SKBR-3/Tr cell proliferation. GAS5 suppresses cancer proliferation by acting as a molecular sponge for miR-21, leading to the de-repression of phosphatase and tensin homologs (PTEN), the endogenous target of miR-21. Moreover, mTOR activation associated with reduced GAS5 expression was required to suppress PTEN.	27034004	2016	Downregulation of LncRNA GAS5 causes trastuzumab resistance in breast cancer
346	GAS5	GAS5; SNHG2; NCRNA00030	ENSG00000234741	NR_002578	chr1:173863900-173868882	cervical cancer	C53		qPCR etc.	cell line (CaSki)	up-regulated	Generally, we found that some of the RNA molecules (HOTAIR and MALAT1) are down-regulated while many of them (lincRNA-p21, GAS5, MEG3, ANRIL, and ncRNA-CCND1) are up-regulated and some others (TUG1, UCA1, and PANDA) not affected. The decline in the expression of HOTAIR and MALAT1 was clearly evident in BLM-treated HeLa and MCF cells. For lincRNA-p21, ncRNA-CCND1, and MEG3, a similar up-regulation pattern was obvious in both cell lines where the increase was generally more pronounced in BLM-treated cells.	22487937	2013	Differential expression of long non-coding RNAs during genotoxic stress-induced apoptosis in HeLa and MCF-7 cells.
347	GAS5	GAS5; SNHG2; NCRNA00030	ENSG00000234741	NR_002578	chr1:173863900-173868882	cervical cancer	C53		qPCR, RNAi etc.	cervical cancer tissue	down-regulated	We found that GAS5 expression was markedly downregulated in cervical cancer tissues than in corresponding adjacent normal tissues. Decreased GAS5 expression was significantly correlated with FIGO stage, vascular invasion and lymph node metastasis. Moreover, cervical cancer patients with GAS5 lower expression have shown significantly poorer overall survival than those with higher GAS5 expression. And GAS5 expression was an independent prognostic marker of overall survival in a multivariate analysis.	25400758	2014	Decreased expression of lncRNA GAS5 predicts a poor prognosis in cervical cancer.
348	GAS5	GAS5; SNHG2; NCRNA00030	ENSG00000234741	NR_002578	chr1:173863900-173868882	colorectal cancer	C19.9		qPCR, FCA etc.	CRC tissue	down-regulated	The lower expression of GAS5 was significantly correlated with large tumor size, low histological grade and advanced TNM stage. Multivariate analyses revealed that GAS5 expression served as an independent predictor for overall survival. Further experiments revealed that overexpressed GAS5 significantly repressed the proliferation both in vitro and in vivo.	25326054	2014	Long noncoding RNA GAS5 affects cell proliferation and predicts a poor prognosis in patients with colorectal cancer.
349	GAS5	GAS5; SNHG2; NCRNA00030	ENSG00000234741	NR_002578	chr1:173863900-173868882	endometrial carcinoma		M9070/3	qPCR, Western blot, RNAi, Luciferase reporter assay, Flow cytometry assay etc.	endometrial cancer tissue, cell lines (HHUA, JEC)	down-regulated	We identified that GAS5 was down-regulated in endometrial cancer cells and stimulated the apoptosis of endometrial cancer cells. In summary, we demonstrate that GAS5 acts as an tumor suppressor lncRNA in endometrial cancer. Through inhibiting the expression of miR-103, GAS5 significantly enhanced the expression of PTEN to promote cancer cell apoptosis, and, thus, could be an important mediator in the pathogenesis of endometrial cancer.	26511107	2015	LncRNA-GAS5 induces PTEN expression through inhibiting miR-103 in endometrial cancer cells.
350	GAS5	GAS5; SNHG2; NCRNA00030	ENSG00000234741	NR_002578	chr1:173863900-173868882	gastric cancer	C16		qPCR, Western blot, RNAi etc.	gastric cancer tissue, cell lines (SGC7901, BGC823, MGC803, MKN45, MKN28)	down-regulated	GAS5 expression was markedly downregulated in gastric cancer tissues. Moreover, ectopic expression of GAS5 was demonstrated to decrease gastric cancer cell proliferation and induce apoptosis, while downregulation of endogenous GAS5 could promote cell proliferation. GAS5 could influence gastric cancer cells proliferation, partly via regulating E2F1 and P21 expression.	24884417	2014	Decreased expression of long noncoding RNA GAS5 indicates a poor prognosis and promotes cell proliferation in gastric cancer.
351	GAS5	GAS5; SNHG2; NCRNA00030	ENSG00000234741	NR_002578	chr1:173863900-173868882	gastric cancer	C16		qPCR, Western blot, RNAi, RIP, Flow cytometry assay ect.	gastric cancer tissues, cell lines (AGS, BGC-823 and MGC-803)	down-regulated	GAS5 expression was significantly lower in GC tissues relative to normal tissues, and its lower expression was correlated with larger tumor size and a more advanced clinical stage of GC. GAS5 induced growth arrest of GC cells through inhibition of G1-S phase translation. The action of GAS5 may be mediated by upregulation of P21 and suppression of CDK6.	26278580	2015	GAS5 Inhibits Gastric Cancer Cell Proliferation Partly by Modulating CDK6.
352	GAS5	GAS5; SNHG2; NCRNA00030	ENSG00000234741	NR_002578	chr1:173863900-173868882	hepatocellular carcinoma	C22.0	M8170/3	microarray, qPCR etc.	HBV-related HCC tissue	up-regulated	Four upregulated lncRNAs were randomly selected and analyzed for their expression levels in tissue samples from 14 HBV-related HCC patients. The corresponding non-tumor tissues were analyzed via qPCR, in which the obtained results are consistent with the microarray data.	26109807	2015	Long noncoding RNAs in hepatitis B virus-related hepatocellular carcinoma.
